2026-03-31 06:34:16,096 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:16,135 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:16,283 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:16,658 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:16,693 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:16,805 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:34:34,500 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:34,522 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:35,595 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:35,683 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:36,085 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:36,105 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:36,225 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:36,247 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:36,860 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:36,873 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:36,885 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:36,910 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:37,072 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:37,114 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:37,601 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:37,649 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:37,890 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:37,939 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:37,943 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:37,983 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:38,196 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:38,212 | INFO | app.database.session | Database tables initialized
2026-03-31 06:34:38,408 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:34:38,420 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:36,541 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,764 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,865 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,865 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,882 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,882 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,882 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,883 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,892 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:36,885 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:37,006 | INFO | app.main | 🛑 Application shutdown
2026-03-31 06:35:54,697 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:54,726 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:54,896 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:54,925 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:54,926 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:54,932 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-31 06:35:54,958 | INFO | app.database.session | Database tables initialized
2026-03-31 06:35:54,959 | INFO | app.database.session | Database tables initialized
